user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
AhmedMsbah,1.4185274646077972e+18,0.0,0.0,0.0,0.0,1.4185274646077972e+18,0.0,0.0,0.0,1,1,0.0,AhmedMsbah
AiTrading3,1.4376273520501965e+18,0.0,0.0,0.0,0.0,1.4376273520501965e+18,0.0,0.0,0.0,1,1,0.0,AiTrading3
AidanFX,1.4360051092726129e+18,0.0,1.0,1.0,0.0,1.4360051092726129e+18,0.0,0.0,0.0,1,1,0.0,AidanFX
AimforProfit,4.1593894021095916e+18,1.0,1.0,3.0,0.0,4.1593894021095916e+18,0.0,0.0,0.0,3,3,0.0,AimforProfit
Ajvsalinas96,1.4374880880166953e+18,0.0,0.0,0.0,0.0,1.4374880880166953e+18,0.0,0.0,1.0,1,1,100.0,Ajvsalinas96
AkshayChinchal4,1.394993853254361e+18,1.0,0.0,5.0,0.0,1.394993853254361e+18,0.0,0.0,0.0,1,1,0.0,AkshayChinchal4
AktierFiskeAB,1.3594671546645217e+18,1.0,0.0,1.0,0.0,1.3594671546645217e+18,0.0,0.0,0.0,1,1,0.0,AktierFiskeAB
Al_Marketstudy,1.37653219465148e+18,0.0,0.0,0.0,0.0,1.37653219465148e+18,0.0,0.0,0.0,1,1,0.0,Al_Marketstudy
AladinTrade,4.2951136829811876e+18,0.0,0.0,1.0,0.0,4.2951136829811876e+18,0.0,0.0,0.0,3,3,0.0,AladinTrade
AlahuakebarAGM,2.8685470175475753e+18,0.0,0.0,0.0,0.0,2.868546022801236e+18,0.0,2.868546022801236e+18,0.0,2,2,0.0,AlahuakebarAGM
AlamosaTC,1.382692581449085e+18,1.0,0.0,2.0,0.0,1.382692581449085e+18,0.0,0.0,1.0,1,1,100.0,AlamosaTC
AlanAlden,1.3846286905673728e+18,0.0,1.0,0.0,0.0,1.3846286905673728e+18,0.0,0.0,0.0,1,1,0.0,AlanAlden
AlbertoDuarteJ1,1.3773851367492116e+18,0.0,0.0,0.0,0.0,1.3773851367492116e+18,0.0,0.0,0.0,1,1,0.0,AlbertoDuarteJ1
AlbertoFNeumann,2.7665289509721457e+19,5.0,0.0,6.0,1.0,2.7659869447397175e+19,0.0,2.790351629867397e+18,3.0,20,20,15.0,AlbertoFNeumann
AldanaLeonorPV,1.4155010180586045e+18,0.0,0.0,0.0,0.0,1.4150758686035272e+18,0.0,1.4150758686035272e+18,0.0,1,1,0.0,AldanaLeonorPV
Alebrune1,1.356492394326352e+18,0.0,2.0,6.0,0.0,1.356492394326352e+18,0.0,0.0,0.0,1,1,0.0,Alebrune1
Aleks7ey,1.3960714378494648e+18,0.0,0.0,0.0,0.0,1.3957302199029473e+18,0.0,1.3960523999498158e+18,0.0,1,1,0.0,Aleks7ey
Alen0604ion,1.392287817070383e+18,0.0,0.0,0.0,0.0,1.392287817070383e+18,0.0,0.0,0.0,1,1,0.0,Alen0604ion
Alessan54494933,1.402550074459267e+18,1.0,0.0,4.0,0.0,1.402550074459267e+18,0.0,0.0,0.0,1,1,0.0,Alessan54494933
AlexNFTz,1.3699608473641984e+18,0.0,0.0,1.0,0.0,1.3699608388162806e+18,0.0,1.369960845606785e+18,0.0,1,1,0.0,AlexNFTz
Alex_mdxb,1.3675616658065613e+18,0.0,0.0,0.0,0.0,1.3675616658065613e+18,0.0,0.0,0.0,1,1,0.0,Alex_mdxb
Alexand40973876,5.65226253636982e+18,3.0,0.0,2.0,0.0,5.617953213347987e+18,0.0,5.64108966492672e+18,0.0,4,4,0.0,Alexand40973876
Alexand62475865,1.4132262537426575e+18,0.0,0.0,1.0,0.0,1.4132181847490683e+18,0.0,1.4132260726662185e+18,0.0,1,1,0.0,Alexand62475865
